nombre;estilo;og;abv;ibu;color_srm;litros;publicada;autor;url
CREAM ALE R.BEER 2021;01C - Cream Ale (BJCP 2015);1.049;4.69;13.3;3.8986403479966736;40;2021-05-19;Rodriguez Beer;https://www.brew-o-matic.com.ar/#/recipe/clone/CREAMALERBEER2021-5ad520484383a900042f8346-1613568167045
CREAM ALE R.BEER 2024;01C - Cream Ale (BJCP 2015);1.045;4.3;13.6;4.054045209775083;100;2025-01-16;Rodriguez Beer;https://www.brew-o-matic.com.ar/#/recipe/clone/CREAMALERBEER2023-5ad520484383a900042f8346-1719407888630
CREAM ALE R.BEER 2025;01C - Cream Ale (BJCP 2015);1.048;4.59;12.1;4.511172969222013;90;2023-07-06;Rodriguez Beer;https://www.brew-o-matic.com.ar/#/recipe/clone/CREAMALERBEER2021-5ad520484383a900042f8346-1682946422102
Campe 5  cream ale;01C - Cream Ale (BJCP 2015);1.057;5.82;;8.756974064901152;23;2020-11-08;Javier Maestre;https://www.brew-o-matic.com.ar/#/recipe/clone/Campe5cream-5f0c63c6b71dcc0004807bd9-1604827251216
Chop Suey;01C - Cream Ale (BJCP 2015);1.07;7.15;25.4;6.515676342573996;25;2020-10-11;Francisco Dottori;https://www.brew-o-matic.com.ar/#/recipe/clone/ExperienciaCream-5f676a4aa8f3030004567af0-1602436388461
Corn Creammy ale;01C - Cream Ale (BJCP 2015);1.08;8.17;31.7;6.937444760465373;20;2017-07-17;Javier Speziale;https://www.brew-o-matic.com.ar/#/recipe/clone/Supercreanale-58d3cb1ab188201d00ff8f53-1495974472668
Cream;01C - Cream Ale (BJCP 2015);1.042;4.29;19;4.686813111124429;23;2018-12-27;Alfredo Alanis;https://www.brew-o-matic.com.ar/#/recipe/clone/Cream-596d327596c7a21d002c407a-1540835628478
Cream;01C - Cream Ale (BJCP 2015);1.048;4.72;15.3;4.504880744996752;60;2024-12-16;Sergio Corbalan;https://www.brew-o-matic.com.ar/#/recipe/clone/Cream-58338467b210b71d0065dc29-1734385542244
"Cream ""Summer"" Ale";01C - Cream Ale (BJCP 2015);1.045;4.6;11.5;3.5400385199524353;360;2019-02-25;Pablo Ceser;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamSummerAle-565cc047de3e80635daf5f22-1544881722887
Cream AR;01C - Cream Ale (BJCP 2015);1.051;5.48;16.3;4.240361043179085;150;2018-09-02;franquen;https://www.brew-o-matic.com.ar/#/recipe/clone/GrizzlyCream10litros-5b7b1aa7b534de0004606238-1535418353820
